"UP 2210"
"Version"	"1.61"	"1.61"
"Serialnumber:"	26001552
"Main comment"	"Measure 1"
"Start:"	"2010-09-14"	"16:50:00"
"End:"	"2010-09-28"	"11:30:00"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"U1  [V] Voltage"	""	""	115.626	140.903
"U2  [V] Voltage"	""	""	2.343	139.847
"U3  [V] Voltage"	""	""	117.375	142.982
"I5  [A] Current"	""	""	2.263	97.769
"I6  [A] Current"	""	""	29.698	115.588
"I7  [A] Current"	""	""	19.139	98.995
"S1-5  [VA] 1-Wattmeter"	""	""	280.000	11526.700
"S2-6  [VA] 1-Wattmeter"	""	""	140.000	14140.000
"S3-7  [VA] 1-Wattmeter"	""	""	2566.670	12226.700
"S1-7  [VA] 3-Wattmeter"	""	""	4620.000	36400.000
"PF1-5  [] 1-Wattmeter"	""	""	0.640	1.213
"PF2-6  [] 1-Wattmeter"	""	""	0.029	1.109
"PF3-7  [] 1-Wattmeter"	""	""	0.770	1.165
"PF1-7  [] 3-Wattmeter"	""		"	0.760	1.103
"Wp1-7  [Wh] Energy"	"10"	""	840.000	5600.000




Date	Time	"U1  [V]"	"U2  [V]"	"U3  [V]"	"I5  [A]"	"I6  [A]"	"I7  [A]"	"S1-5  [VA]"	"S2-6  [VA]"	"S3-7  [VA]"	"S1-7  [VA]"	"PF1-5  []"	"PF2-6  []"	"PF3-7  []"	"PF1-7  []"	"Wp1-7  [Wh]"	
"14/09/2010"	"17:00:00"	122.721	120.015	123.513	66.185	94.941	96.072	7980.000	11200.000	11666.700	29680.000	1.099	1.109	1.095	1.101	4853.330	
"14/09/2010"	"17:10:00"	122.919	120.345	123.843	56.097	81.930	79.102	6906.660	9846.660	9800.000	26600.000	0.968	0.979	0.971	0.973	4316.670	
"14/09/2010"	"17:20:00"	123.216	120.477	123.744	57.417	83.344	84.853	7093.330	10033.300	10500.000	27580.000	0.962	0.967	0.976	0.969	4456.670	
"14/09/2010"	"17:30:00"	123.480	120.642	123.810	56.380	80.422	79.762	6953.330	9706.660	9846.660	26600.000	0.957	0.971	0.974	0.968	4270.000	
"14/09/2010"	"17:40:00"	123.645	120.345	123.447	36.204	67.128	80.704	4200.000	7980.000	9940.000	22120.000	0.970	0.903	0.973	0.947	3500.000	
"14/09/2010"	"17:50:00"	122.820	118.794	122.160	23.476	69.202	80.044	2846.670	8166.660	9753.330	20720.000	0.967	0.905	0.976	0.947	3290.000	
"14/09/2010"	"18:00:00"	123.414	119.751	123.909	13.199	77.970	79.479	1586.670	9333.330	9800.000	20720.000	0.908	0.908	0.990	0.947	3266.670	
"14/09/2010"	"18:10:00"	123.810	119.718	123.810	11.031	79.667	85.513	1353.330	9520.000	10500.000	21420.000	0.889	0.916	0.990	0.951	3383.330	
"14/09/2010"	"18:20:00"	123.810	119.520	123.711	11.125	80.610	85.136	1353.330	9660.000	10453.300	21420.000	0.888	0.918	0.991	0.952	3406.670	
"14/09/2010"	"18:30:00"	123.513	119.421	123.282	6.317	71.371	82.119	606.666	8540.000	9846.660	19040.000	0.807	0.922	0.987	0.953	3010.000	
"14/09/2010"	"18:40:00"	123.579	119.553	123.711	4.054	70.616	73.445	466.667	8400.000	8866.660	17780.000	0.816	0.914	0.992	0.950	2800.000	
"14/09/2010"	"18:50:00"	124.734	120.411	124.767	3.394	75.519	76.368	420.000	9100.000	9333.330	18760.000	0.798	0.916	0.992	0.951	2986.670	
"14/09/2010"	"19:00:00"	124.932	120.609	125.031	3.394	76.745	77.405	420.000	9240.000	9613.330	19180.000	0.800	0.902	0.996	0.947	3033.330	
"14/09/2010"	"19:10:00"	125.097	120.543	125.295	3.394	78.442	72.408	420.000	9426.660	9053.330	18900.000	0.806	0.910	0.995	0.948	2986.670	
"14/09/2010"	"19:20:00"	125.229	120.675	125.361	3.206	80.516	74.953	373.333	9660.000	9333.330	19460.000	0.809	0.896	0.997	0.943	3056.670	
"14/09/2010"	"19:30:00"	125.031	120.378	125.361	3.960	81.836	68.259	466.667	9846.660	8540.000	18760.000	0.843	0.901	0.997	0.944	2963.330	
"14/09/2010"	"19:40:00"	124.998	120.345	125.064	3.394	76.556	67.976	420.000	9193.330	8446.660	18060.000	0.806	0.909	0.994	0.947	2846.670	
"14/09/2010"	"19:50:00"	124.668	119.784	124.503	3.394	81.836	77.028	420.000	9753.330	9566.660	19740.000	0.813	0.902	0.995	0.945	3126.670	
"14/09/2010"	"20:00:00"	124.536	119.487	124.305	2.546	79.196	75.519	326.667	9426.660	9380.000	19180.000	0.835	0.907	0.994	0.948	3033.330	
"14/09/2010"	"20:10:00"	124.404	119.487	124.338	3.394	76.462	72.973	420.000	9100.000	9100.000	18620.000	0.805	0.912	0.993	0.949	2940.000	
"14/09/2010"	"20:20:00"	124.635	119.619	124.503	3.866	76.933	73.916	466.667	9193.330	9193.330	18760.000	0.836	0.910	0.993	0.950	2986.670	
"14/09/2010"	"20:30:00"	124.734	118.860	123.645	3.111	76.368	71.748	373.333	9053.330	8866.660	18340.000	0.802	0.918	0.993	0.952	2893.330	
"14/09/2010"	"20:40:00"	123.678	117.342	121.698	3.394	74.765	73.728	420.000	8726.660	8960.000	18060.000	0.800	0.914	0.993	0.951	2870.000	
"14/09/2010"	"20:50:00"	123.480	117.045	121.005	2.734	70.239	75.330	326.667	8213.330	9100.000	17640.000	0.824	0.898	0.993	0.946	2776.670	
"14/09/2010"	"21:00:00"	123.018	116.550	120.543	4.148	70.522	75.990	466.667	8213.330	9146.660	17780.000	0.839	0.896	0.993	0.946	2800.000	
"14/09/2010"	"21:10:00"																
"14/09/2010"	"21:20:00"																
"14/09/2010"	"21:30:00"																
"14/09/2010"	"21:40:00"																
"14/09/2010"	"21:50:00"																
"14/09/2010"	"22:00:00"																
"14/09/2010"	"22:10:00"																
"14/09/2010"	"22:20:00"																
"14/09/2010"	"22:30:00"																
"14/09/2010"	"22:40:00"																
"14/09/2010"	"22:50:00"																
"14/09/2010"	"23:00:00"																
"14/09/2010"	"23:10:00"																
"14/09/2010"	"23:20:00"																
"14/09/2010"	"23:30:00"																
"14/09/2010"	"23:40:00"	131.663	127.571	130.508	6.977	50.346	64.205	886.666	6160.000	8026.660	14980.000	0.896	0.845	0.982	0.924	2310.000	
"14/09/2010"	"23:50:00"	129.683	124.536	128.099	3.866	74.388	87.587	513.333	9240.000	11153.300	20860.000	0.803	0.876	0.990	0.935	3266.670	
"15/09/2010"	"00:00:00"	127.340	121.467	125.064	3.394	61.660	77.593	420.000	7466.660	9613.330	17500.000	0.836	0.880	0.983	0.936	2730.000	
"15/09/2010"	"00:10:00"	126.780	120.378	124.602	3.583	73.728	77.216	466.667	8866.660	9520.000	18760.000	0.832	0.898	0.986	0.941	2940.000	
"15/09/2010"	"00:20:00"	126.845	120.510	124.635	3.394	76.368	82.024	420.000	9193.330	10080.000	19740.000	0.841	0.886	0.989	0.938	3080.000	
"15/09/2010"	"00:30:00"	127.340	120.675	124.899	4.243	82.590	85.607	513.333	9986.660	10640.000	21140.000	0.864	0.892	0.991	0.942	3313.330	
"15/09/2010"	"00:40:00"	127.439	121.170	125.295	3.300	73.539	78.159	420.000	8866.660	9613.330	18900.000	0.847	0.884	0.991	0.937	2963.330	
"15/09/2010"	"00:50:00"	127.538	120.807	124.998	3.300	79.762	83.533	420.000	9613.330	10406.700	20440.000	0.845	0.890	0.992	0.941	3196.670	
"15/09/2010"	"01:00:00"	127.769	121.038	125.064	3.111	77.688	86.550	373.333	9380.000	10826.700	20580.000	0.850	0.889	0.991	0.942	3243.330	
"15/09/2010"	"01:10:00"	128.231	121.797	126.054	4.337	75.990	78.913	513.333	9240.000	9940.000	19740.000	0.853	0.887	0.991	0.940	3080.000	
"15/09/2010"	"01:20:00"	128.132	121.731	126.219	3.488	80.704	76.933	420.000	9753.330	9660.000	19880.000	0.843	0.880	0.994	0.935	3103.330	
"15/09/2010"	"01:30:00"	128.165	121.731	126.252	2.923	82.496	79.573	373.333	9986.660	10033.300	20300.000	0.867	0.878	0.995	0.935	3173.330	
"15/09/2010"	"01:40:00"	128.099	121.698	126.219	3.206	78.347	73.445	420.000	9520.000	9286.660	19180.000	0.844	0.889	0.992	0.938	2986.670	
"15/09/2010"	"01:50:00"	128.231	121.896	126.384	3.488	79.856	76.933	420.000	9660.000	9706.660	19880.000	0.833	0.880	0.994	0.935	3080.000	
"15/09/2010"	"02:00:00"	128.330	122.028	126.582	3.866	81.364	76.273	466.667	9846.660	9613.330	19880.000	0.876	0.879	0.994	0.935	3103.330	
"15/09/2010"	"02:10:00"	128.693	122.127	126.516	3.394	88.153	87.964	420.000	10780.000	11153.300	22260.000	0.832	0.881	0.996	0.937	3476.670	
"15/09/2010"	"02:20:00"	129.254	122.754	126.944	3.394	89.378	93.432	420.000	10966.700	11900.000	23240.000	0.828	0.867	0.997	0.933	3616.670	
"15/09/2010"	"02:30:00"	129.122	122.787	127.208	2.923	89.378	87.964	373.333	10966.700	11200.000	22540.000	0.847	0.869	0.998	0.933	3500.000	
"15/09/2010"	"02:40:00"	129.056	122.886	127.604	4.620	88.247	78.630	560.000	10826.700	10033.300	21420.000	0.851	0.873	0.998	0.932	3336.670	
"15/09/2010"	"02:50:00"	129.353	123.150	127.934	3.017	88.436	78.159	373.333	10873.300	10033.300	21280.000	0.848	0.872	0.998	0.931	3290.000	
"15/09/2010"	"03:00:00"	129.980	123.678	128.561	3.300	92.395	78.159	420.000	11433.300	10080.000	21980.000	0.826	0.878	0.998	0.932	3406.670	
"15/09/2010"	"03:10:00"	130.508	124.470	129.221	3.488	87.398	75.708	466.667	10873.300	9800.000	21140.000	0.820	0.872	0.998	0.930	3266.670	
"15/09/2010"	"03:20:00"	131.003	124.833	129.815	3.960	89.190	74.388	466.667	11153.300	9660.000	21280.000	0.865	0.878	0.997	0.932	3313.330	
"15/09/2010"	"03:30:00"	131.234	125.262	130.079	3.488	83.062	69.674	466.667	10406.700	9053.330	19880.000	0.814	0.882	0.996	0.932	3103.330	
"15/09/2010"	"03:40:00"	131.696	125.592	130.376	3.206	82.402	69.674	420.000	10360.000	9100.000	19880.000	0.831	0.901	0.996	0.943	3126.670	
"15/09/2010"	"03:50:00"	131.960	126.120	130.970	3.394	82.119	68.636	420.000	10360.000	9006.660	19740.000	0.820	0.898	0.997	0.941	3103.330	
"15/09/2010"	"04:00:00"	131.993	126.384	131.300	3.677	79.950	65.902	466.667	10126.700	8680.000	19320.000	0.808	0.883	0.998	0.932	2986.670	
"15/09/2010"	"04:10:00"	132.554	126.845	131.597	3.960	80.139	68.165	466.667	10173.300	9006.660	19600.000	0.861	0.878	0.997	0.932	3056.670	
"15/09/2010"	"04:20:00"	132.950	127.241	131.894	3.677	80.610	71.088	466.667	10266.700	9380.000	20160.000	0.800	0.872	0.994	0.927	3103.330	
"15/09/2010"	"04:30:00"	133.610	127.934	132.290	3.394	80.327	79.573	420.000	10266.700	10546.700	21280.000	0.813	0.868	0.993	0.929	3290.000	
"15/09/2010"	"04:40:00"	133.280	127.637	132.059	3.300	79.950	77.876	420.000	10220.000	10313.300	21000.000	0.815	0.869	0.993	0.929	3243.330	
"15/09/2010"	"04:50:00"	134.369	129.518	134.303	4.903	80.044	70.428	606.666	10360.000	9426.660	20440.000	0.819	0.866	0.993	0.924	3150.000	
"15/09/2010"	"05:00:00"	135.194	131.135	136.745	2.923	79.950	66.185	420.000	10500.000	9053.330	20020.000	0.813	0.874	0.992	0.926	3080.000	
"15/09/2010"	"05:10:00"	127.703	123.381	129.452	3.488	78.065	69.862	420.000	9660.000	9053.330	19180.000	0.830	0.885	0.996	0.936	2986.670	
"15/09/2010"	"05:20:00"	128.198	123.777	129.848	3.017	80.044	73.633	373.333	9893.330	9566.660	19880.000	0.850	0.882	0.994	0.935	3103.330	
"15/09/2010"	"05:30:00"	128.264	123.909	130.277	4.148	81.836	69.391	513.333	10126.700	9006.660	19600.000	0.854	0.878	0.994	0.931	3056.670	
"15/09/2010"	"05:40:00"	132.851	128.726	134.963	3.677	76.745	63.357	466.667	9893.330	8540.000	18900.000	0.798	0.858	0.990	0.916	2893.330	
"15/09/2010"	"05:50:00"	134.171	130.112	136.217	3.017	75.330	62.885	420.000	9846.660	8586.660	18760.000	0.815	0.856	0.988	0.915	2870.000	
"15/09/2010"	"06:00:00"	134.171	130.343	136.448	3.771	70.145	56.946	513.333	9146.660	7793.330	17500.000	0.786	0.854	0.985	0.911	2636.670	
"15/09/2010"	"06:10:00"	131.036	127.076	133.115	2.923	64.960	56.097	373.333	8260.000	7466.660	16100.000	0.826	0.874	0.982	0.923	2473.330	
"15/09/2010"	"06:20:00"	128.726	124.932	130.640	4.243	62.414	58.926	513.333	7793.330	7700.000	15960.000	0.838	0.888	0.982	0.933	2496.670	
"15/09/2010"	"06:30:00"	129.188	125.460	131.597	7.071	60.246	47.046	700.000	7560.000	6206.660	14420.000	0.847	0.899	0.968	0.928	2240.000	
"15/09/2010"	"06:40:00"	129.089	125.328	131.333	14.331	58.454	54.777	1866.670	7326.660	7186.660	16380.000	0.984	0.908	0.934	0.928	2543.330	
"15/09/2010"	"06:50:00"	128.759	125.196	130.673	15.179	57.323	64.677	1960.000	7186.660	8446.660	17640.000	0.988	0.896	0.940	0.927	2730.000	
"15/09/2010"	"07:00:00"	128.627	125.130	130.442	15.651	57.888	67.976	2006.670	7233.330	8866.660	18200.000	0.984	0.897	0.948	0.931	2823.330	
"15/09/2010"	"07:10:00"	128.297	124.899	130.310	15.085	59.868	64.865	1913.330	7466.660	8446.660	17920.000	0.987	0.901	0.954	0.935	2776.670	
"15/09/2010"	"07:20:00"	127.802	124.239	130.079	14.519	62.980	55.531	1866.670	7840.000	7186.660	16940.000	0.984	0.905	0.951	0.933	2636.670	
"15/09/2010"	"07:30:00"	127.274	124.107	129.386	14.425	55.249	58.643	1820.000	6813.330	7606.660	16240.000	0.982	0.885	0.945	0.924	2496.670	
"15/09/2010"	"07:40:00"	126.878	123.876	129.023	15.556	51.949	60.717	1960.000	6440.000	7840.000	16240.000	0.986	0.873	0.938	0.918	2473.330	
"15/09/2010"	"07:50:00"	126.549	123.546	128.495	16.311	53.552	66.280	2053.330	6626.660	8540.000	17220.000	0.982	0.864	0.948	0.920	2636.670	
"15/09/2010"	"08:00:00"	125.955	123.579	128.528	25.927	61.565	70.711	3220.000	7560.000	9053.330	19880.000	0.983	0.856	0.946	0.917	3033.330	
"15/09/2010"	"08:10:00"	131.234	128.990	133.808	39.598	76.462	76.650	4946.670	9800.000	10266.700	24920.000	0.956	0.843	0.922	0.897	3733.330	
"15/09/2010"	"08:20:00"	121.665	119.322	123.249	74.953	90.510	83.816	9053.330	10733.300	10266.700	30100.000	0.941	0.956	0.920	0.939	4690.000	
"15/09/2010"	"08:30:00"	121.962	119.520	123.282	79.102	94.375	85.607	9566.660	11200.000	10453.300	31220.000	0.921	0.947	0.903	0.924	4806.670	
"15/09/2010"	"08:40:00"	120.477	117.639	121.863	81.553	98.901	83.910	9800.000	11620.000	10220.000	31640.000	0.922	0.960	0.887	0.924	4876.670	
"15/09/2010"	"08:50:00"	120.180	117.441	121.368	68.825	87.116	77.593	8260.000	10220.000	9380.000	27860.000	0.955	0.971	0.946	0.958	4456.670	
"15/09/2010"	"09:00:00"	119.421	116.781	120.807	81.176	98.429	85.890	9660.000	11480.000	10313.300	31360.000	0.930	0.952	0.912	0.932	4876.670	
"15/09/2010"	"09:10:00"	119.157	116.484	120.510	81.459	96.449	82.307	9706.660	11246.700	9893.330	30800.000	0.919	0.954	0.877	0.919	4713.330	
"15/09/2010"	"09:20:00"	118.695	116.154	120.081	81.930	96.732	83.250	9706.660	11200.000	9986.660	30940.000	0.917	0.950	0.870	0.914	4713.330	
"15/09/2010"	"09:30:00"	119.454	116.814	120.675	74.199	88.624	77.970	8820.000	10313.300	9380.000	28560.000	0.942	0.969	0.906	0.940	4456.670	
"15/09/2010"	"09:40:00"	119.949	117.111	121.302	67.222	89.755	70.994	8026.660	10453.300	8586.660	27020.000	0.960	0.977	0.924	0.955	4316.670	
"15/09/2010"	"09:50:00"	119.487	116.814	120.939	63.640	83.816	66.751	7606.660	9800.000	8073.330	25480.000	0.963	0.982	0.919	0.956	4060.000	
"15/09/2010"	"10:00:00"	119.091	116.550	120.444	66.657	84.193	70.616	7933.330	9800.000	8493.330	26180.000	0.959	0.983	0.911	0.952	4153.330	
"15/09/2010"	"10:10:00"	118.761	116.055	120.048	67.976	86.550	70.239	8073.330	10033.300	8400.000	26460.000	0.960	0.982	0.909	0.952	4200.000	
"15/09/2010"	"10:20:00"	118.992	116.517	120.312	68.259	84.099	71.465	8120.000	9800.000	8586.660	26460.000	0.959	0.982	0.908	0.951	4200.000	
"15/09/2010"	"10:30:00"	119.223	116.649	120.741	68.165	93.621	70.711	8120.000	10873.300	8493.330	27440.000	0.958	0.979	0.918	0.954	4363.330	
"15/09/2010"	"10:40:00"	120.279	117.738	121.632	68.919	92.961	69.296	8260.000	10920.000	8400.000	27580.000	0.954	0.976	0.912	0.950	4363.330	
"15/09/2010"	"10:50:00"	119.421	117.177	120.609	67.976	86.173	72.219	8120.000	10080.000	8680.000	26880.000	0.954	0.977	0.932	0.955	4270.000	
"15/09/2010"	"11:00:00"	119.058	116.847	120.180	77.782	86.267	76.273	9193.330	9986.660	9100.000	28280.000	0.929	0.970	0.860	0.922	4340.000	
"15/09/2010"	"11:10:00"	118.662	115.626	119.784	80.516	91.924	80.233	9566.660	10593.300	9566.660	29680.000	0.920	0.963	0.848	0.912	4526.670	
"15/09/2010"	"11:20:00"	119.058	109.488	120.147	74.953	86.361	74.199	8913.330	9426.660	8866.660	27160.000	0.934	0.970	0.868	0.925	4200.000	
"15/09/2010"	"11:30:00"	120.543	110.016	121.434	76.273	80.987	76.933	9146.660	8866.660	9286.660	27300.000	0.932	0.971	0.872	0.924	4200.000	
