"UP 2210"
"Version"	"1.61"	"1.61"
"Serialnumber:"	26001555
"Main comment"	"Measure 1"
"Start:"	"2010-10-25"	"13:00:00"
"End:"	"2010-11-02"	"11:10:00"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"U1  [V] Voltage"	""	""	120.840	133.841
"U2  [V] Voltage"	""	""	115.494	129.881
"U3  [V] Voltage"	""	""	108.465	122.787
"S1-7  [VA] 3-Wattmeter"	""	""	15120.000	40600.000
"Wp1-7  [Wh] Energy"	"10"	""	2170.000	6580.000




Date	Time	"U1  [V]"	"U2  [V]"	"U3  [V]"	"S1-7  [VA]"	"Wp1-7  [Wh]"	
"25/10/2010"	"13:10:00"	128.429	124.305	117.309	20300.000	3080.000	
"25/10/2010"	"13:20:00"	127.406	123.018	116.418	21420.000	3266.670	
"25/10/2010"	"13:30:00"	126.450	121.896	115.395	21700.000	3313.330	
"25/10/2010"	"13:40:00"	126.351	121.698	115.197	23520.000	3616.670	
"25/10/2010"	"13:50:00"	126.219	121.566	115.065	23940.000	3686.670	
"25/10/2010"	"14:00:00"	126.120	121.335	114.933	23240.000	3546.670	
"25/10/2010"	"14:10:00"	126.120	121.335	114.933	22400.000	3476.670	
"25/10/2010"	"14:20:00"	126.384	121.533	115.032	22960.000	3546.670	
"25/10/2010"	"14:30:00"	126.120	121.434	114.900	23240.000	3616.670	
"25/10/2010"	"14:40:00"	126.252	121.896	115.197	24780.000	3850.000	
"25/10/2010"	"14:50:00"	126.120	121.929	115.296	25620.000	3966.670	
"25/10/2010"	"15:00:00"	126.351	121.995	115.329	24920.000	3873.330	
"25/10/2010"	"15:10:00"	127.010	122.622	115.956	25060.000	3896.670	
"25/10/2010"	"15:20:00"	127.175	122.787	116.088	23800.000	3616.670	
"25/10/2010"	"15:30:00"	127.241	122.952	116.253	24220.000	3710.000	
"25/10/2010"	"15:40:00"	127.901	123.546	116.814	23800.000	3640.000	
"25/10/2010"	"15:50:00"	128.297	124.008	117.276	22260.000	3430.000	
"25/10/2010"	"16:00:00"	129.089	124.998	118.068	21980.000	3383.330	
"25/10/2010"	"16:10:00"	129.914	125.823	118.926	21700.000	3336.670	
"25/10/2010"	"16:20:00"	130.904	126.845	119.718	22400.000	3476.670	
"25/10/2010"	"16:30:00"	131.729	127.769	120.543	22120.000	3406.670	
"25/10/2010"	"16:40:00"	131.861	127.934	120.774	21560.000	3336.670	
"25/10/2010"	"16:50:00"	132.983	128.990	121.797	21840.000	3360.000	
"25/10/2010"	"17:00:00"	133.577	129.551	122.325	21560.000	3313.330	
"25/10/2010"	"17:10:00"	132.191	128.099	121.038	21000.000	3220.000	
"25/10/2010"	"17:20:00"	131.036	126.714	119.916	21560.000	3336.670	
"25/10/2010"	"17:30:00"	129.716	125.262	118.497	22400.000	3476.670	
"25/10/2010"	"17:40:00"	127.967	123.381	116.517	23240.000	3640.000	
"25/10/2010"	"17:50:00"	126.219	121.203	114.438	23380.000	3710.000	
"25/10/2010"	"18:00:00"	125.262	120.345	113.250	24920.000	3966.670	
"25/10/2010"	"18:10:00"	124.998	119.982	112.722	25900.000	4106.670	
"25/10/2010"	"18:20:00"	124.767	119.685	112.359	25200.000	3990.000	
"25/10/2010"	"18:30:00"	124.602	119.487	112.194	25060.000	3990.000	
"25/10/2010"	"18:40:00"	124.239	119.091	111.864	26600.000	4223.330	
"25/10/2010"	"18:50:00"	123.909	118.596	111.270	24920.000	3943.330	
"25/10/2010"	"19:00:00"	123.447	118.002	110.808	26460.000	4223.330	
"25/10/2010"	"19:10:00"	123.414	117.870	110.643	27300.000	4363.330	
"25/10/2010"	"19:20:00"	123.150	117.441	110.247	30940.000	4993.330	
"25/10/2010"	"19:30:00"	122.820	116.979	109.851	32200.000	5203.330	
"25/10/2010"	"19:40:00"	122.655	116.682	109.554	32060.000	5203.330	
"25/10/2010"	"19:50:00"	122.325	116.418	109.191	31640.000	5133.330	
"25/10/2010"	"20:00:00"	121.995	116.187	108.960	32060.000	5180.000	
"25/10/2010"	"20:10:00"	121.698	116.055	108.828	31500.000	5040.000	
"25/10/2010"	"20:20:00"	121.302	115.692	108.597	30520.000	4853.330	
"25/10/2010"	"20:30:00"	121.467	115.626	108.663	31640.000	5063.330	
"25/10/2010"	"20:40:00"	121.401	115.494	108.729	32060.000	5133.330	
"25/10/2010"	"20:50:00"	121.467	115.692	108.828	30380.000	4876.670	
"25/10/2010"	"21:00:00"	121.764	116.154	109.059	31500.000	5063.330	
"25/10/2010"	"21:10:00"	122.094	116.649	109.554	32760.000	5250.000	
"25/10/2010"	"21:20:00"	122.688	117.309	110.181	32200.000	5133.330	
