"UP 2210"
"Version"	"1.61"	"1.61"
"Serialnumber:"	26001508
"Main comment"	"Measure 1"
"Start:"	"2010-09-01"	"11:20:00"
"End:"	"2010-09-10"	"09:30:00"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"U1  [V] Voltage"	""	""	112.854	131.795
"U2  [V] Voltage"	""	""	113.250	134.501
"U3  [V] Voltage"	""	""	110.544	130.706
"I5  [A] Current"	""	""	49.780	608.583
"I6  [A] Current"	""	""	81.364	347.896
"I7  [A] Current"	""	""	126.431	383.063
"S1-5  [VA] 1-Wattmeter"	""	""	6253.330	75693.300
"S2-6  [VA] 1-Wattmeter"	""	""	10360.000	42560.000
"S3-7  [VA] 1-Wattmeter"	""	""	15446.700	44800.000
"S1-7  [VA] 3-Wattmeter"	""	""	31640.000	134120.000
"PF1-5  [] 1-Wattmeter"	""	""	0.140	0.956
"PF2-6  [] 1-Wattmeter"	""	""	0.888	0.979
"PF3-7  [] 1-Wattmeter"	""	""	0.912	0.985
"PF1-7  [] 3-Wattmeter"	""		"	0.478	0.967
"Wp1-7  [Wh] Energy"	"10"	""	4993.330	18456.700




Date	Time	"U1  [V]"	"U2  [V]"	"U3  [V]"	"I5  [A]"	"I6  [A]"	"I7  [A]"	"S1-5  [VA]"	"S2-6  [VA]"	"S3-7  [VA]"	"S1-7  [VA]"	"PF1-5  []"	"PF2-6  []"	"PF3-7  []"	"PF1-7  []"	"Wp1-7  [Wh]"	
"01/09/2010"	"11:30:00"	117.012	117.441	113.976	121.999	230.328	158.298	14233.300	26973.300	17966.700	58100.000	0.928	0.941	0.939	0.937	9053.330	
"01/09/2010"	"11:40:00"	116.847	117.243	113.811	122.094	245.979	175.268	14280.000	28840.000	19833.300	62860.000	0.904	0.938	0.942	0.931	9776.660	
"01/09/2010"	"11:50:00"	117.078	117.804	113.943	120.585	226.651	215.620	14093.300	26693.300	24546.700	65380.000	0.903	0.940	0.942	0.933	10173.300	
"01/09/2010"	"12:00:00"	117.078	118.035	114.009	127.656	234.571	265.401	14933.300	27720.000	30286.700	72940.000	0.896	0.939	0.952	0.936	11363.300	
"01/09/2010"	"12:10:00"	118.200	119.421	115.494	144.721	252.107	285.105	17126.700	30100.000	32900.000	80080.000	0.877	0.956	0.959	0.940	12553.300	
"01/09/2010"	"12:20:00"	118.233	118.992	114.768	120.114	237.588	297.928	14186.700	28326.700	34206.700	76720.000	0.911	0.925	0.965	0.940	12040.000	
"01/09/2010"	"12:30:00"	117.309	118.398	114.273	132.559	245.413	286.897	15446.700	29073.300	32806.700	77280.000	0.892	0.941	0.964	0.940	12133.300	
"01/09/2010"	"12:40:00"	116.319	117.243	113.118	134.822	256.067	304.150	15633.300	30006.700	34440.000	80080.000	0.888	0.944	0.967	0.943	12576.700	
"01/09/2010"	"12:50:00"	116.088	116.814	112.623	122.471	251.919	308.016	14186.700	29400.000	34720.000	78260.000	0.918	0.926	0.966	0.942	12296.700	
"01/09/2010"	"13:00:00"	115.989	116.946	112.821	131.050	261.347	295.005	15166.700	30566.700	33273.300	79100.000	0.895	0.944	0.961	0.942	12413.300	
"01/09/2010"	"13:10:00"	116.979	117.705	114.207	139.159	277.940	283.785	16286.700	32760.000	32433.300	81340.000	0.892	0.951	0.960	0.943	12786.700	
"01/09/2010"	"13:20:00"	115.824	116.517	112.623	126.996	247.299	289.065	14700.000	28840.000	32573.300	76160.000	0.953	0.942	0.950	0.948	12040.000	
"01/09/2010"	"13:30:00"	115.296	116.022	111.897	135.387	256.915	301.793	15540.000	29773.300	33786.700	79100.000	0.943	0.944	0.952	0.947	12483.300	
"01/09/2010"	"13:40:00"	114.768	115.692	111.567	149.152	258.801	296.702	17126.700	29960.000	33133.300	80220.000	0.937	0.952	0.948	0.947	12646.700	
"01/09/2010"	"13:50:00"	114.966	115.659	111.666	127.091	242.396	289.914	14560.000	28046.700	32433.300	75040.000	0.950	0.942	0.952	0.948	11853.300	
"01/09/2010"	"14:00:00"	115.758	116.583	112.557	136.613	247.959	290.951	15726.700	28886.700	32760.000	77420.000	0.944	0.951	0.950	0.949	12250.000	
"01/09/2010"	"14:10:00"	117.177	117.936	114.174	144.061	264.741	277.940	16893.300	31220.000	31780.000	79940.000	0.933	0.958	0.945	0.947	12623.300	
"01/09/2010"	"14:20:00"	114.867	115.560	111.699	132.276	254.936	292.459	15166.700	29493.300	32713.300	77420.000	0.947	0.944	0.949	0.946	12203.300	
"01/09/2010"	"14:30:00"	115.263	115.989	112.359	145.381	256.067	293.214	16613.300	29586.700	32993.300	79100.000	0.944	0.950	0.945	0.946	12483.300	
"01/09/2010"	"14:40:00"	116.022	116.781	113.283	153.772	269.549	295.759	17780.000	31546.700	33553.300	82880.000	0.932	0.959	0.947	0.948	13090.000	
"01/09/2010"	"14:50:00"	115.362	115.857	112.326	128.599	254.936	284.257	14746.700	29586.700	31920.000	76300.000	0.932	0.949	0.952	0.947	12040.000	
"01/09/2010"	"15:00:00"	115.560	116.253	112.689	124.734	246.167	277.752	14420.000	28606.700	31313.300	74340.000	0.903	0.956	0.954	0.945	11713.300	
"01/09/2010"	"15:10:00"	117.705	118.266	114.867	129.542	251.353	276.337	15260.000	29773.300	31780.000	76720.000	0.900	0.965	0.955	0.948	12133.300	
"01/09/2010"	"15:20:00"	117.078	117.672	114.240	136.519	267.098	279.260	15960.000	31500.000	31920.000	79380.000	0.884	0.970	0.953	0.946	12530.000	
"01/09/2010"	"15:30:00"	118.035	118.530	114.834	122.754	263.138	289.914	14466.700	31220.000	33320.000	78960.000	0.905	0.952	0.957	0.946	12460.000	
"01/09/2010"	"15:40:00"	119.454	120.015	116.451	121.717	247.393	283.691	14560.000	29680.000	33040.000	77280.000	0.904	0.946	0.954	0.941	12133.300	
"01/09/2010"	"15:50:00"	122.952	123.381	120.279	124.262	250.504	262.761	15260.000	30893.300	31593.300	77700.000	0.879	0.956	0.946	0.937	12133.300	
"01/09/2010"	"16:00:00"	122.952	123.645	120.675	137.839	248.996	253.804	16893.300	30753.300	30660.000	78260.000	0.880	0.962	0.952	0.940	12273.300	
"01/09/2010"	"16:10:00"	123.678	124.503	121.071	135.482	235.042	270.492	16753.300	29306.700	32760.000	78820.000	0.917	0.958	0.949	0.946	12413.300	
"01/09/2010"	"16:20:00"	122.754	124.041	120.345	162.540	245.602	275.300	19973.300	30473.300	33180.000	83580.000	0.916	0.975	0.938	0.946	13183.300	
"01/09/2010"	"16:30:00"	122.853	124.404	120.642	164.049	226.557	266.721	20113.300	28186.700	32246.700	80500.000	0.919	0.970	0.933	0.943	12646.700	
"01/09/2010"	"16:40:00"	122.094	123.414	119.718	154.149	222.409	263.044	18853.300	27486.700	31546.700	77840.000	0.929	0.960	0.938	0.944	12250.000	
"01/09/2010"	"16:50:00"	121.929	123.546	120.048	177.814	240.793	259.084	21700.000	29773.300	31126.700	82600.000	0.912	0.976	0.936	0.944	12996.700	
"01/09/2010"	"17:00:00"	121.335	122.820	119.289	165.652	238.908	254.936	20066.700	29353.300	30426.700	79800.000	0.917	0.970	0.943	0.946	12600.000	
"01/09/2010"	"17:10:00"	121.665	122.886	119.223	143.684	220.994	259.272	17500.000	27206.700	30940.000	75600.000	0.930	0.959	0.949	0.948	11946.700	
"01/09/2010"	"17:20:00"	121.698	123.282	119.817	169.140	244.942	263.515	20580.000	30240.000	31640.000	82460.000	0.913	0.975	0.954	0.951	13066.700	
"01/09/2010"	"17:30:00"	121.731	123.282	119.751	163.483	236.079	279.543	19880.000	29120.000	33506.700	82460.000	0.920	0.970	0.953	0.951	13090.000	
"01/09/2010"	"17:40:00"	121.962	123.315	119.619	146.135	228.820	281.617	17826.700	28280.000	33740.000	79800.000	0.931	0.963	0.958	0.953	12693.300	
"01/09/2010"	"17:50:00"	122.028	123.711	119.949	165.274	245.130	283.031	20160.000	30333.300	33973.300	84420.000	0.917	0.976	0.962	0.956	13463.300	
"01/09/2010"	"18:00:00"	121.731	123.381	119.355	168.480	253.898	303.773	20533.300	31360.000	36306.700	88200.000	0.918	0.972	0.967	0.957	14070.000	
"01/09/2010"	"18:10:00"	120.378	121.896	117.738	175.174	275.206	312.918	21093.300	33553.300	36866.700	91560.000	0.922	0.971	0.968	0.958	14606.700	
"01/09/2010"	"18:20:00"	120.015	121.203	116.979	171.403	278.317	286.331	20580.000	33786.700	33506.700	87920.000	0.940	0.964	0.960	0.957	14023.300	
"01/09/2010"	"18:30:00"	120.972	122.226	117.771	174.420	273.132	254.747	21093.300	33413.300	30053.300	84560.000	0.944	0.964	0.953	0.955	13463.300	
"01/09/2010"	"18:40:00"	121.500	122.919	118.563	184.696	288.688	250.787	22493.300	35513.300	29773.300	87780.000	0.936	0.970	0.949	0.954	13953.300	
"01/09/2010"	"18:50:00"	121.566	122.952	118.464	173.571	286.048	250.504	21093.300	35233.300	29726.700	86100.000	0.944	0.960	0.948	0.952	13650.000	
"01/09/2010"	"19:00:00"	121.533	122.886	118.398	178.662	291.139	248.053	21700.000	35793.300	29400.000	86800.000	0.942	0.963	0.951	0.954	13813.300	
"01/09/2010"	"19:10:00"	122.292	123.744	119.388	194.973	301.227	238.813	23846.700	37333.300	28560.000	89740.000	0.934	0.973	0.952	0.956	14303.300	
"01/09/2010"	"19:20:00"	122.391	123.612	118.992	173.760	284.917	243.716	21280.000	35280.000	29026.700	85540.000	0.945	0.964	0.950	0.954	13603.300	
"01/09/2010"	"19:30:00"	122.259	123.546	118.563	177.437	290.479	254.276	21653.300	35886.700	30193.300	87640.000	0.944	0.964	0.947	0.953	13930.000	
"01/09/2010"	"19:40:00"	122.424	123.678	118.959	197.424	321.498	261.535	24173.300	39806.700	31173.300	95200.000	0.935	0.968	0.955	0.956	15143.300	
"01/09/2010"	"19:50:00"	122.556	123.612	118.827	186.770	312.730	247.393	22913.300	38686.700	29400.000	91000.000	0.952	0.958	0.954	0.955	14490.000	
